Zapceń - pole B,Z,807,-,-,bytowski
Barwiny,R,1 645,-,-,olsztyński
Bornity,Z,583,-,-,braniewski
Bornity I,R,155,-,-,braniewski
Cerkiewnik,P,1 332,-,-,olsztyński
Chmielewo,Z,193,-,-,piski
Chrośle,R,279,-,-,nowomiejski
Dobry Lasek,R,666,-,-,mrągowski
Florczaki,Z,31,-,-,ostródzki
Ględy,Z,33,-,-,ostródzki
Ględy 1,Z,32,-,-,ostródzki
Judyty,P,974,-,-,bartoszycki
Karnity,P,601,-,-,"iławski, ostródzki"
Kiewry,P,362,-,-,"olsztyński, ostródzki"
Komorowo,P,43,-,-,ostródzki
Kruklin,Z,1,-,-,giżycki
Kruklin II,Z,-,-,-,giżycki
Lipowskie,P,1 211,-,-,piski
Lutek,Z,-,-,-,olsztyński
Lutek II,Z,-,-,-,olsztyński
Lutek III,Z,4,-,-,olsztyński
Lutek IV,Z,86,-,-,olsztyński
Lutek V,Z,6,-,-,olsztyński
Łukta-Wynki,P,776,-,-,ostródzki
Malinowo III,R,226,-,-,nidzicki
Malinowo V,Z,60,-,-,olsztyński
Malinowo-Pole II,Z,1 006,-,-,"nidzicki, olsztyński"
Malinowo-pole IV,Z,159,-,-,olsztyński
Mostkowo,R,163,-,-,ostródzki
Piłaki,R,622,-,-,mrągowski
Prusy,Z,1 322,-,-,działdowski
Prusy II,Z,4,-,-,działdowski
Rapa,Z,161,-,-,gołdapski
Romoty,P,1 122,-,-,ełcki
Rynek,R,528,-,-,nowomiejski
Sędańsk,R,418,-,-,szczycieński
Szczurkowo,Z,211,-,-,bartoszycki
Szuć,R,2 875,-,-,szczycieński
Tarda,P,425,-,-,ostródzki
Unieszewo,Z,195,-,-,olsztyński
Upałty,Z,-,-,-,giżycki
Warkałki,Z,89,-,-,ostródzki
Wądzyń,Z,230,-,-,ostródzki
Wądzyń II,Z,103,-,-,ostródzki
Wenecja II,Z,13,-,-,nowomiejski
Wenecja pole A,R,118,-,-,nowomiejski
Wenecja pole B,Z,354,-,-,nowomiejski
Zezuj,Z,34,-,-,olsztyński
Żabin,Z,49,-,-,gołdapski
Belęcin,R,466,-,-,leszczyński
Błotkowo,R,179,-,-,leszczyński
Czapury,R,70,-,-,m.Poznań
Górzna,R,11,-,-,złotowski
Kalwy Cieśle,Z,482,-,-,poznański
